b900
---;m=1;m=2;m=3
10;0,409090909091;0,242424242424;0,136363636364
11;0,0833333333333;0,0555555555556;0,0416666666667
12;0,423076923077;0,307692307692;0,153846153846
13;0,142857142857;0,0952380952381;0,0714285714286
14;0,633333333333;0,333333333333;0,316666666667
15;0,03125;0,0208333333333;0,015625
16;0,647058823529;0,372549019608;0,25
17;0,194444444444;0,0925925925926;0,0694444444444
18;0,526315789474;0,333333333333;0,197368421053
19;0,05;0,0333333333333;0,025
20;0,428571428571;0,428571428571;0,345238095238
21;0,159090909091;0,151515151515;0,0681818181818
22;0,565217391304;0,463768115942;0,315217391304
23;0,0416666666667;0,0277777777778;0,0208333333333
24;0,66;0,413333333333;0,42
25;0,192307692308;0,115384615385;0,0961538461538
26;0,611111111111;0,407407407407;0,305555555556
27;0,0714285714286;0,047619047619;0,0357142857143
28;0,620689655172;0,413793103448;0,344827586207
29;0,2;0,133333333333;0,0916666666667
30;0,967741935484;0,408602150538;0,306451612903
31;0,03125;0,0208333333333;0,015625
32;0,681818181818;0,59595959596;0,545454545455
33;0,279411764706;0,21568627451;0,0882352941176
34;0,6;0,428571428571;0,3
35;0,0833333333333;0,0740740740741;0,0486111111111
36;0,851351351351;0,459459459459;0,581081081081
37;0,236842105263;0,228070175439;0,144736842105
38;1,10256410256;0,538461538462;0,416666666667
39;0,025;0,0166666666667;0,01875
40;1,01219512195;0,739837398374;0,518292682927
41;0,297619047619;0,253968253968;0,125
