b900
---;m=1;m=2;m=3
42;2,79069767442;2,19379844961;1,89534883721
43;0,170454545455;0,136363636364;0,0568181818182
44;2,77777777778;2,18518518519;1,88888888889
45;0,260869565217;0,159420289855;0,130434782609
46;2,76595744681;2,17730496454;1,8829787234
47;0,03125;0,0208333333333;0,0208333333333
48;2,75510204082;2,17006802721;1,87755102041
49;0,27;0,64;0,15
50;2,74509803922;2,16339869281;1,87254901961
51;0,192307692308;0,108974358974;0,0865384615385
52;2,7358490566;2,1572327044;1,8679245283
53;0,314814814815;0,617283950617;0,449074074074
54;2,72727272727;2,15151515152;1,86363636364
55;0,0803571428571;0,0297619047619;0,03125
56;2,71929824561;2,14619883041;1,85964912281
57;1,09482758621;0,775862068966;0,297413793103
58;2,71186440678;2,14124293785;1,85593220339
59;1,15;0,672222222222;0,120833333333
60;2,70491803279;2,13661202186;1,85245901639
61;1,4435483871;0,806451612903;0,177419354839
62;2,69841269841;2,13227513228;1,84920634921
63;0,078125;0,0833333333333;0,0859375
64;2,69230769231;2,12820512821;1,84615384615
65;1,08333333333;0,818181818182;0,594696969697
66;2,68656716418;2,12437810945;1,84328358209
67;1,25735294118;0,877450980392;0,227941176471
68;2,68115942029;2,12077294686;1,84057971014
69;1,41428571429;0,8;0,585714285714
70;2,67605633803;2,11737089202;1,83802816901
71;0,0763888888889;0,0740740740741;0,0798611111111
72;2,67123287671;2,11415525114;1,83561643836
73;1,17567567568;1,10810810811;0,712837837838
74;2,66666666667;2,11111111111;1,83333333333
75;1,20394736842;0,934210526316;0,131578947368
76;2,66233766234;2,10822510823;1,83116883117
77;1,1858974359;0,931623931624;0,708333333333
78;2,6582278481;2,10548523207;1,82911392405
79;1,13125;0,8125;0,634375
80;2,65432098765;2,10288065844;1,82716049383
81;1,4756097561;0,808943089431;0,67987804878
82;2,65060240964;2,10040160643;1,82530120482
83;1,2380952381;0,90873015873;0,83630952381
84;2,64705882353;2,09803921569;1,82352941176
85;1,38372093023;1,04263565891;0,799418604651
86;2,64367816092;2,09578544061;1,82183908046
